input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:original_blocks,counter:selected_blocks,counter:issued_output_bytes,counter:left_metadata_bytes,counter:right_metadata_bytes,counter:raw_allocation_bytes,counter:metadata_bytes,counter:readable_suffix_bytes,counter:predicted_allocation_bytes,counter:actual_allocation_bytes,counter:body_mae_bytes,counter:wrong_byte_choice_fraction,counter:storage_regret_bytes,counter:max_storage_regret_bytes,counter:output_body_bytes
neoverse-v2,algebra/census-income/direct_direct/intersection/selected/grain2/masked25,1,5,"[4472.463554988123,4473.695652174548,4473.073529408628,4476.709079286255,4473.216112533814]",4473.216112533814,"[4472.312659689594,4473.541560033398,4472.906010195009,4481.9405371652565,4473.10038357628]",4473.10038357628,,,256.0,75.0,2400.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/intersection/selected/grain2/sparse17,1,5,"[1185.8666666670968,1184.8428087979198,1186.3275803723438,1187.184602369537,1185.2884940779156]",1185.8666666670968,"[1185.8241962738107,1184.807783390867,1187.7873096555343,1188.565820653935,1185.2585448158193]",1185.8241962738107,,,256.0,16.0,512.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/union/complete/grain1/all,1,5,"[27811.466135478146,27791.131474082955,27792.63745021825,27827.055776885954,27806.219123502284]",27806.219123502284,"[27810.478088097178,27790.227092458033,27791.65338487731,27863.533863731922,27805.677291325992]",27805.677291325992,,,256.0,256.0,8192.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/union/complete/grain1/masked25,1,5,"[8178.229239766426,8175.038596485201,8172.2654970773965,8166.732163739152,8164.233918126172]",8172.2654970773965,"[8177.950877053949,8174.72865486845,8172.002339189972,8166.431578831702,8163.926315574555]",8172.002339189972,,,256.0,75.0,8192.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/union/complete/grain1/sparse17,1,5,"[1903.679717237428,1905.0867319188587,1899.8344208803442,1905.5084284941677,1908.436106578905]",1905.0867319188587,"[1903.61337677159,1905.0133224260067,1899.7770526992065,1905.4537792362976,1910.5747689023303]",1905.0133224260067,,,256.0,16.0,8192.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/union/complete/grain2/all,1,5,"[27488.169291353737,27482.429133846064,27482.094488191044,27480.78740158062,27477.77952753979]",27482.094488191044,"[27487.29527561731,27481.31496123887,27481.11417417036,27479.775589536144,27476.787401725218]",27481.11417417036,,,256.0,256.0,8192.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/union/complete/grain2/masked25,1,5,"[8107.119906874093,8098.316647269431,8106.805587889078,8101.237485451021,8099.642607678294]",8101.237485451021,"[8113.986030163219,8098.1280561910935,8113.42724095946,8100.969732153025,8099.387660295984]",8100.969732153025,,,256.0,75.0,8192.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/union/complete/grain2/sparse17,1,5,"[1905.2869660457793,1904.1073384441434,1907.3209200426093,1903.6610076684703,1910.445509309499]",1905.2869660457793,"[1905.248904658708,1904.0457283400008,1907.25000007951,1903.5930996983627,1919.5846111805445]",1905.248904658708,,,256.0,16.0,8192.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/union/selected/grain1/all,1,5,"[28275.532258073286,28228.92741934673,28325.568548367177,28236.826612904053,28246.600806458937]",28246.600806458937,"[28307.15725798244,28228.302420713237,28442.536290640415,28236.375000335924,28255.33870933331]",28255.33870933331,,,256.0,256.0,8192.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/union/selected/grain1/masked25,1,5,"[8253.357733177376,8254.85005903098,8264.414403775747,8253.552538367328,8258.76151121582]",8254.85005903098,"[8253.09327041269,8254.58559659346,8274.423848840226,8253.315230071265,8258.466351427829]",8254.58559659346,,,256.0,75.0,2400.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/union/selected/grain1/sparse17,1,5,"[1900.9161676646577,1902.3620032659044,1898.5119760472,1900.692705497965,1899.9616222094587]",1900.692705497965,"[1900.857920521627,1904.9801306214156,1898.4564506328968,1900.6260206618813,1899.899020131821]",1900.6260206618813,,,256.0,16.0,512.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/union/selected/grain2/all,1,5,"[27924.709163366253,27924.40637449658,27967.721115521137,27959.19521913738,27939.24701194328]",27939.24701194328,"[27923.63346748152,27923.398406582928,27997.14342566936,27970.12748886343,27938.2948210116]",27938.2948210116,,,256.0,256.0,8192.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/union/selected/grain2/masked25,1,5,"[8202.456775703178,8174.478971961723,8176.629672904087,8185.077102799859,8177.283878507586]",8177.283878507586,"[8208.1764017968,8174.168224222654,8176.330607375773,8195.021027901685,8177.081775624871]",8177.081775624871,,,256.0,75.0,2400.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/union/selected/grain2/sparse17,1,5,"[1882.9320075250757,1881.5081967202038,1882.5417898418327,1883.6775060475554,1881.8753023387048]",1882.5417898418327,"[1882.8801397499883,1881.4477291018331,1882.475141099349,1883.6476753076288,1881.8105347509534]",1882.475141099349,,,256.0,16.0,512.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/intersection/complete/grain1/all,1,5,"[759.1121140632529,756.4759462509743,762.3304954352373,756.0277977226463,756.5084624066168]",756.5084624066168,"[759.0859575464262,757.9487126930721,762.3089547436672,756.0021540866301,756.4815878422246]",757.9487126930721,,,256.0,256.0,8192.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/intersection/complete/grain1/masked25,1,5,"[406.4928904492801,396.77934488530315,399.63496632297785,408.85792412646515,407.3537505034483]",406.4928904492801,"[406.4794773052813,396.7633987580977,399.6255253112561,408.8451442040324,407.34177653060806]",406.4794773052813,,,256.0,75.0,8192.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/intersection/complete/grain1/sparse17,1,5,"[256.1252644634413,258.30123294660154,255.56201211080887,258.36667396237186,258.08528489088013]",258.08528489088013,"[256.11829722853315,258.6522944480419,255.55369518294538,258.4955497178953,258.0744874941979]",258.0744874941979,,,256.0,16.0,8192.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/intersection/complete/grain2/all,1,5,"[972.9542992998794,935.9096552639662,938.4574032488698,945.4786686035195,935.3727380791904]",938.4574032488698,"[972.9200898233474,935.874653259648,939.5139347428124,945.4464403249168,935.3401135756426]",939.5139347428124,,,256.0,256.0,8192.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/intersection/complete/grain2/masked25,1,5,"[426.3837337582962,427.2423388088281,428.994238783812,431.7986638881458,429.3097572936629]",428.994238783812,"[426.36804363643506,427.2264647981063,428.97860993646333,432.34542779798755,429.29449618701904]",428.97860993646333,,,256.0,75.0,8192.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/intersection/complete/grain2/sparse17,1,5,"[268.39797012635006,268.6996936038732,268.5900038297449,270.27993106091117,268.04055917251065]",268.5900038297449,"[268.39034853799876,268.9084258929288,268.5811183434325,270.272003066993,268.031175791405]",268.5811183434325,,,256.0,16.0,8192.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/intersection/selected/grain1/all,1,5,"[1093.135271013766,1093.5360565599497,1094.3054202671951,1108.146897092928,1105.844147681891]",1094.3054202671951,"[1093.093951260212,1093.4980361839603,1099.509976418385,1109.7146897285575,1105.8047132778552]",1099.509976418385,,,256.0,256.0,8192.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/intersection/selected/grain1/masked25,1,5,"[396.6949036207235,403.10530229394504,396.7850483328725,400.5853114454774,400.2632271349754]",400.2632271349754,"[396.6825487635403,403.09151748281636,396.7730938693456,400.5712978321096,400.7382028291811]",400.5712978321096,,,256.0,75.0,2400.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/intersection/selected/grain1/sparse17,1,5,"[189.56595940952974,217.81975797689884,189.5910299543065,189.56072281309483,210.37112003477648]",189.5910299543065,"[189.55980030437175,217.81267636590965,189.58514217888384,189.55442803988814,210.60427067116635]",189.58514217888384,,,256.0,16.0,512.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/intersection/selected/grain2/all,1,5,"[1307.7664614811333,1293.220667785859,1321.1093079656014,1329.929490766149,1295.7703786602597]",1307.7664614811333,"[1307.7222533385047,1293.1779518412927,1321.0617422335274,1342.2094758185149,1298.0637940236593]",1307.7222533385047,,,256.0,256.0,8192.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/intersection/selected/grain2/masked25,1,5,"[470.18795067089536,469.66938472974357,477.65294157248843,469.49834894491687,476.42900465023797]",470.18795067089536,"[470.17218140428315,469.6534806831485,477.63683535759503,469.48190578557296,476.41532445971313]",470.17218140428315,,,256.0,75.0,2400.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/intersection/selected/grain2/sparse17,1,5,"[203.12218175513956,213.70065903577787,201.83896982313382,201.82113539147235,202.55104636364428]",202.55104636364428,"[204.19083131596062,213.78991791640527,201.83206151264588,201.81393802465786,202.54410914982395]",202.54410914982395,,,256.0,16.0,512.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/union/complete/grain1/all,1,5,"[739.4446107778637,753.593990590718,749.9821428565995,754.2290419163775,753.1710863986798]",753.1710863986798,"[739.4180923854012,753.5657613371668,749.9558383312703,754.2008126575079,753.1461719569127]",753.1461719569127,,,256.0,256.0,8192.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/union/complete/grain1/masked25,1,5,"[398.7317257409531,388.5678094130725,395.53771063362433,396.62771644417575,407.86693782663605]",396.62771644417575,"[399.1444509057859,388.5590935437008,395.523765260548,396.61563045533234,407.85124928662145]",396.61563045533234,,,256.0,75.0,8192.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/union/complete/grain1/sparse17,1,5,"[260.24172473877763,253.48305023241227,253.3638937281591,258.9743757258448,259.6524753193556]",258.9743757258448,"[260.5566928105333,253.4751742174346,253.3566710223085,258.96649970287257,259.6433289766196]",258.96649970287257,,,256.0,16.0,8192.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/union/complete/grain2/all,1,5,"[937.3234901122844,937.2190005344177,938.5749599136406,951.0386157138099,938.7415820418145]",938.5749599136406,"[937.2910208204647,937.2033671748544,938.5423570171904,951.0041421645496,938.7060395710129]",938.5423570171904,,,256.0,256.0,8192.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/union/complete/grain2/masked25,1,5,"[427.4587850521483,426.8421658285769,425.33947065591326,426.1680092056692,432.2458966748729]",426.8421658285769,"[427.4438859035372,427.32063474660026,425.3260250614481,426.1538973922885,432.23117921794795]",427.32063474660026,,,256.0,75.0,8192.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/union/complete/grain2/sparse17,1,5,"[267.89298752663484,269.50486766064984,267.136332522019,268.1925387889749,269.47874201402857]",268.1925387889749,"[267.8832902492759,269.8066245937169,267.12792819843776,268.18337390337837,269.46851232923507]",268.18337390337837,,,256.0,16.0,8192.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/union/selected/grain1/all,1,5,"[1066.8033466381783,1065.6826834500991,1061.6785385323044,1061.64599324581,1061.3543137860484]",1061.6785385323044,"[1066.7628185905733,1065.6481424984152,1062.8064169480826,1061.6174392995115,1061.3156279366553]",1062.8064169480826,,,256.0,256.0,8192.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/union/selected/grain1/masked25,1,5,"[410.26310062458157,391.75642861209246,395.04827902150487,408.85762556576867,410.91323520990005]",408.85762556576867,"[410.2495275170695,391.74531813395924,395.43852013528584,408.84422426058046,412.396025436643]",408.84422426058046,,,256.0,75.0,2400.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/union/selected/grain1/sparse17,1,5,"[195.46582480909603,193.27450439772866,193.07157627735307,192.83415589084169,192.90220298334893]",193.07157627735307,"[196.2967823808558,193.481044422193,193.18980396450485,192.8280349623788,193.02395985373275]",193.18980396450485,,,256.0,16.0,512.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/union/selected/grain2/all,1,5,"[1316.422448980209,1312.0339517625562,1316.740630797693,1313.9641929501397,1332.1777365489613]",1316.422448980209,"[1316.379591854239,1311.9942486000093,1316.699814477013,1315.8538033491109,1332.1469387595755]",1316.379591854239,,,256.0,256.0,8192.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/union/selected/grain2/masked25,1,5,"[482.0416237382945,473.27989559742167,481.0026787552544,479.7731987088214,477.0894292189184]",479.7731987088214,"[482.0240400959733,473.2618998598354,480.98763649379595,480.2842228340361,477.07699705974767]",480.2842228340361,,,256.0,75.0,2400.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_plain/union/selected/grain2/sparse17,1,5,"[203.32983760860787,203.0749498881532,203.40080759959153,203.33683874142812,204.99465473675954]",203.33683874142812,"[203.32306888661103,203.0690236178494,203.39456178073814,203.5588414839238,204.98890276956774]",203.39456178073814,,,256.0,16.0,512.0,0.0,0.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/intersection/complete/grain1/all,1,5,"[16952.92718447371,16934.174757289817,16934.233009721822,16938.2961165092,16946.69660194268]",16938.2961165092,"[16972.06553371782,16933.66504819935,16933.580097641436,16937.686893373397,16946.080096795853]",16937.686893373397,,,256.0,256.0,8192.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/intersection/complete/grain1/masked25,1,5,"[5165.677060134012,5164.446919075624,5168.969561985474,5165.852264290071,5166.6629547117345]",5165.852264290071,"[5165.501856136204,5164.267260628962,5168.8092055983925,5165.685226337847,5166.501856026407]",5165.685226337847,,,256.0,75.0,8192.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/intersection/complete/grain1/sparse17,1,5,"[1463.5076696780498,1469.140996008129,1463.440848917829,1464.9228829595345,1461.967640260338]",1463.5076696780498,"[1463.4595503533635,1470.683757164796,1463.3958815198093,1464.8737130394086,1461.9201512597701]",1463.4595503533635,,,256.0,16.0,8192.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/intersection/complete/grain2/all,1,5,"[15786.065315317834,15785.472972966489,15799.770270278515,15781.171171176828,15776.4684684691]",15785.472972966489,"[15785.527026096828,15784.959459410487,15817.957207447991,15780.648648098972,15775.909910312417]",15784.959459410487,,,256.0,256.0,8192.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/intersection/complete/grain2/masked25,1,5,"[4821.135674933915,4816.424931129084,4818.429063359931,4813.653581267519,4821.447658403888]",4818.429063359931,"[4820.941460046707,4816.230716266343,4822.823691590274,4813.448347105439,4839.982093672356]",4820.941460046707,,,256.0,75.0,8192.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/intersection/complete/grain2/sparse17,1,5,"[1352.8579457364467,1355.9612403100434,1352.7050387601328,1352.9744186039732,1351.9472868214173]",1352.8579457364467,"[1352.81937988929,1362.6151162815254,1353.6711240569923,1353.8226744282113,1351.899612391983]",1353.6711240569923,,,256.0,16.0,8192.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/intersection/selected/grain1/all,1,5,"[17135.466830467085,17138.714987722124,17129.23587222686,17148.609336605878,17129.86240786159]",17135.466830467085,"[17134.8206385492,17138.08599491888,17128.67813256187,17174.33906602037,17129.358722866156]",17134.8206385492,,,256.0,256.0,8192.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/intersection/selected/grain1/masked25,1,5,"[5170.451780416347,5164.910979232176,5167.517804157566,5168.321958458249,5176.044510382927]",5168.321958458249,"[5170.276706455084,5164.718100862125,5167.336795530423,5168.152077241341,5182.173590745189]",5168.152077241341,,,256.0,75.0,2400.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/intersection/selected/grain1/sparse17,1,5,"[1383.664760401708,1381.5543285347567,1394.0021691967129,1387.8540721750655,1384.4971406037655]",1384.4971406037655,"[1383.6170380199965,1381.5058174408002,1393.953263711604,1389.4920133853243,1384.4642083015112]",1384.4642083015112,,,256.0,16.0,512.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/intersection/selected/grain2/all,1,5,"[16093.942263286961,16083.942263280045,16088.05080830182,16086.304849891896,16084.210161652762]",16086.304849891896,"[16093.355657648892,16083.42956060117,16087.491917407773,16085.750577427172,16083.644342080916]",16085.750577427172,,,256.0,256.0,8192.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/intersection/selected/grain2/masked25,1,5,"[4867.708710800999,4865.3184668988515,4867.9003484301875,4865.831358887739,4866.486411152279]",4866.486411152279,"[4867.574912786442,4865.1609756807975,4867.7303134243675,4865.64947732721,4866.303135922831]",4866.303135922831,,,256.0,75.0,2400.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/intersection/selected/grain2/sparse17,1,5,"[1276.2368853963726,1277.0935843546174,1276.7812100166816,1280.3856698955688,1275.171083897041]",1276.7812100166816,"[1276.1911898904218,1277.0440504684957,1276.7356973530789,1280.3414367257903,1275.1275818018391]",1276.7356973530789,,,256.0,16.0,512.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/union/complete/grain1/all,1,5,"[17007.968215156394,17007.885085582537,17000.591687045428,17009.623471886774,17004.997555015805]",17007.885085582537,"[17007.486552498794,17007.3471885576,16999.970660620358,17008.98533083251,17004.386307430796]",17007.3471885576,,,256.0,256.0,8192.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/union/complete/grain1/masked25,1,5,"[5200.276325615234,5203.412247947432,5197.480209112514,5200.849887974901,5200.995519041646]",5200.849887974901,"[5200.096340635032,5203.228528653898,5197.290515178731,5200.649738614369,5200.82449574588]",5200.649738614369,,,256.0,75.0,8192.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/union/complete/grain1/sparse17,1,5,"[1468.7468566636876,1467.6173512155885,1468.2621542336838,1468.2093461868408,1470.477577534953]",1468.2621542336838,"[1470.7351215845586,1467.5628666735358,1468.210603577977,1468.155490333656,1470.4218357283278]",1468.210603577977,,,256.0,16.0,8192.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/union/complete/grain2/all,1,5,"[15834.641723342173,15846.240362815073,15836.052154201201,15822.199546481183,15826.92063492049]",15834.641723342173,"[15834.036281074927,15865.918367270508,15835.396825340737,15821.609977674207,15826.417233598855]",15834.036281074927,,,256.0,256.0,8192.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/union/complete/grain2/masked25,1,5,"[4835.799307957611,4835.353633214672,4837.124567472197,4837.120415222718,4835.67404844397]",4835.799307957611,"[4835.616609191999,4835.152249205934,4836.99169531678,4836.932872094748,4837.427681585783]",4836.932872094748,,,256.0,75.0,8192.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/union/complete/grain2/sparse17,1,5,"[1352.7587871759602,1350.591734260922,1348.8124758589215,1349.6709154112295,1350.6743916562061]",1350.591734260922,"[1360.4969099780283,1350.5521437047767,1348.7757821668472,1355.4101970077886,1350.6386635598737]",1350.6386635598737,,,256.0,16.0,8192.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/union/selected/grain1/all,1,5,"[17244.560196552335,17229.577395569373,17253.85995086213,17210.737100741448,17209.223587224915]",17229.577395569373,"[17244.002457393628,17229.02702713059,17290.373464874094,17210.226044275398,17208.567568396247]",17229.02702713059,,,256.0,256.0,8192.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/union/selected/grain1/masked25,1,5,"[5204.721973097043,5203.905082213921,5206.854260091084,5214.216741407604,5207.191330343876]",5206.854260091084,"[5204.54783281073,5203.7234676287335,5206.693572460468,5220.125560519729,5207.030642888507]",5206.693572460468,,,256.0,75.0,2400.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/union/selected/grain1/sparse17,1,5,"[1390.6129673820494,1396.3418854408135,1398.7412490055349,1390.6137629270634,1384.9657915671262]",1390.6137629270634,"[1390.5598646979502,1396.2863961584142,1400.431782023448,1390.5827367351058,1384.9194510622815]",1390.5827367351058,,,256.0,16.0,512.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/union/selected/grain2/all,1,5,"[16046.672018359857,16043.892201827952,16051.947247697817,16043.110091744833,16077.896788994407]",16046.672018359857,"[16046.192660448694,16043.325688044055,16051.394495578512,16042.502293912383,16096.612384982785]",16046.192660448694,,,256.0,256.0,8192.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/union/selected/grain2/masked25,1,5,"[4871.018105849295,4865.895543176892,4866.501392754764,4868.400417825665,4876.2569637885235]",4868.400417825665,"[4870.846796405413,4865.791086363529,4866.32172712049,4868.21378802646,4881.784122547675]",4868.21378802646,,,256.0,75.0,2400.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/plain_tuple/union/selected/grain2/sparse17,1,5,"[1273.1891054833036,1272.8777555101121,1271.078885043224,1273.608854071168,1274.4822372021313]",1273.1891054833036,"[1273.1504827581562,1272.829112747292,1271.0371652773056,1275.272180713233,1275.9699398622092]",1273.1504827581562,,,256.0,16.0,512.0,0.0,528.0,,,,,,,,,,
neoverse-v2,algebra/census-income/point_frame/intersection/complete/grain1/all,1,5,"[20235.43352602604,20194.791907513583,20164.049132939628,20259.283236990053,20185.014450868366]",20194.791907513583,"[20328.011559722443,20194.24855566837,20163.32659010225,20258.52023176265,20228.367052079266]",20228.367052079266,,,256.0,256.0,8192.0,544.0,496.0,,,,,,,,,,
neoverse-v2,algebra/census-income/point_frame/intersection/complete/grain1/masked25,1,5,"[5884.509704641198,5880.543459917079,5879.120675103158,5876.881856541395,5873.559493670127]",5879.120675103158,"[5884.289451767219,5880.345147469509,5878.9274263608795,5876.675949585211,5873.361181402442]",5878.9274263608795,,,256.0,75.0,8192.0,544.0,496.0,,,,,,,,,,
neoverse-v2,algebra/census-income/point_frame/intersection/complete/grain1/sparse17,1,5,"[1645.721542803136,1645.2742238958106,1645.067027281184,1643.9068673565375,1643.8158513640526]",1645.067027281184,"[1645.658984002099,1645.2182502918838,1645.0105832618708,1643.8499529452329,1643.7532925028568]",1645.0105832618708,,,256.0,16.0,8192.0,544.0,496.0,,,,,,,,,,
